127	105	53	127	105	53
222	187	131	222	187	131
45	19	17	45	19	17
30	16	13	30	16	13
84	45	33	84	45	33
200	176	133	200	176	133
84	43	34	84	43	34
86	52	36	86	52	36
97	47	35	97	47	35
97	65	49	97	65	49
53	20	16	53	20	16
77	35	30	77	35	30
94	58	45	94	58	45
94	47	37	94	47	37
63	22	17	63	22	17
129	75	51	129	75	51
124	91	69	124	91	69
90	42	32	90	42	32
170	148	103	170	148	103
78	40	31	78	40	31
71	37	32	71	37	32
89	51	38	89	51	38
63	34	30	63	34	30
117	60	58	117	60	58
156	114	80	156	114	80
111	70	48	111	70	48
66	42	27	66	42	27
101	56	42	101	56	42
49	22	18	49	22	18
49	26	16	49	26	16
38	20	14	38	20	14
120	89	73	120	89	73
61	34	29	61	34	29
88	59	41	88	59	41
51	20	19	51	20	19
91	42	34	91	42	34
137	97	82	137	97	82
53	23	20	53	23	20
114	58	46	114	58	46
81	42	34	81	42	34
169	131	101	169	131	101
66	38	31	66	38	31
103	58	49	103	58	49
68	37	28	68	37	28
118	69	56	118	69	56
165	142	96	165	142	96
176	115	84	176	115	84
205	169	115	205	169	115
136	107	69	136	107	69
71	37	33	71	37	33
205	175	119	205	175	119
53	26	21	53	26	21
130	63	48	130	63	48
96	46	35	96	46	35
99	48	37	99	48	37
79	33	28	79	33	28
35	21	19	35	21	19
99	70	54	99	70	54
22	16	13	22	16	13
163	129	82	163	129	82
100	45	35	100	45	35
88	43	31	88	43	31
64	40	32	64	40	32
38	18	15	38	18	15
81	34	29	81	34	29
120	86	78	120	86	78
64	30	26	64	30	26
82	38	27	82	38	27
98	47	37	98	47	37
146	86	57	146	86	57
187	163	106	187	163	106
103	50	40	103	50	40
102	47	38	102	47	38
85	43	32	85	43	32
45	20	16	45	20	16
81	45	35	81	45	35
105	53	42	105	53	42
77	60	36	77	60	36
189	141	92	189	141	92
104	54	42	104	54	42
95	50	39	95	50	39
35	17	14	35	17	14
56	22	17	56	22	17
182	133	92	182	133	92
62	33	23	62	33	23
213	187	119	213	187	119
46	23	18	46	23	18
106	70	63	106	70	63
147	93	59	147	93	59
44	29	21	44	29	21
50	23	20	50	23	20
42	17	13	42	17	13
67	33	27	67	33	27
73	39	32	73	39	32
125	93	71	125	93	71
102	51	41	102	51	41
52	17	13	52	17	13
53	23	17	53	23	17
77	41	31	77	41	31
39	19	15	39	19	15
215	181	123	215	181	123
47	23	15	47	23	15
184	153	112	184	153	112
53	17	14	53	17	14
107	73	53	107	73	53
79	40	30	79	40	30
98	44	36	98	44	36
50	28	21	50	28	21
106	58	41	106	58	41
126	76	53	126	76	53
145	114	86	145	114	86
113	96	74	113	96	74
99	46	37	99	46	37
208	176	120	208	176	120
121	57	44	121	57	44
47	21	16	47	21	16
187	158	123	187	158	123
76	38	31	76	38	31
102	50	43	102	50	43
51	27	21	51	27	21
179	150	107	179	150	107
196	160	117	196	160	117
137	82	66	137	82	66
122	78	54	122	78	54
50	16	13	50	16	13
148	116	78	148	116	78
106	68	47	106	68	47
88	37	30	88	37	30
107	73	48	107	73	48
65	32	27	65	32	27
53	20	18	53	20	18
99	47	36	99	47	36
127	85	66	127	85	66
99	47	37	99	47	37
108	54	41	108	54	41
63	32	26	63	32	26
187	147	106	187	147	106
111	61	45	111	61	45
136	100	77	136	100	77
127	66	57	127	66	57
107	50	39	107	50	39
88	38	33	88	38	33
103	62	52	103	62	52
100	43	33	100	43	33
99	43	34	99	43	34
124	74	49	124	74	49
169	105	66	169	105	66
46	18	14	46	18	14
106	47	38	106	47	38
138	73	50	138	73	50
163	158	117	163	158	117
142	104	91	142	104	91
103	51	40	103	51	40
76	41	36	76	41	36
104	57	43	104	57	43
104	50	42	104	50	42
185	152	98	185	152	98
140	113	85	140	113	85
111	75	62	111	75	62
137	78	65	137	78	65
101	51	37	101	51	37
49	23	15	49	23	15
42	17	16	42	17	16
68	33	26	68	33	26
61	23	19	61	23	19
83	34	26	83	34	26
106	47	39	106	47	39
76	39	29	76	39	29
43	20	16	43	20	16
133	72	55	133	72	55
72	38	28	72	38	28
36	17	15	36	17	15
41	23	20	41	23	20
71	48	38	71	48	38
160	105	72	160	105	72
124	108	74	124	108	74
35	16	14	35	16	14
203	182	132	203	182	132
183	149	95	183	149	95
133	101	77	133	101	77
61	37	30	61	37	30
188	140	106	188	140	106
61	32	26	61	32	26
132	79	79	132	79	79
95	45	37	95	45	37
95	44	36	95	44	36
32	23	16	32	23	16
177	147	110	177	147	110
115	85	57	115	85	57
86	38	29	86	38	29
57	30	26	57	30	26
86	38	30	86	38	30
192	159	112	192	159	112
128	82	66	128	82	66
114	61	45	114	61	45
131	86	68	131	86	68
52	23	22	52	23	22
207	177	111	207	177	111
44	17	15	44	17	15
117	74	55	117	74	55
99	67	47	99	67	47
82	42	32	82	42	32
59	39	31	59	39	31
82	42	30	82	42	30
100	48	41	100	48	41
102	55	46	102	55	46
68	38	27	68	38	27
216	187	125	216	187	125
62	30	24	62	30	24
45	21	17	45	21	17
82	44	32	82	44	32
152	125	91	152	125	91
119	93	62	119	93	62
191	147	108	191	147	108
64	39	31	64	39	31
192	161	109	192	161	109
81	53	38	81	53	38
73	38	30	73	38	30
48	21	15	48	21	15
148	122	96	148	122	96
155	127	95	155	127	95
109	55	48	109	55	48
128	89	68	128	89	68
